Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/29/03,21-296,WAS,@,CHI,W (+25),1,37:55:00,6,12,0.5,3,4,0.75,3,3,1,0,4,4,6,3,0,5,2,18,14.6,14
2,2,10/31/03,21-298,WAS,@,TOR,L (-3),1,41:49:00,5,9,0.556,0,1,0,6,8,0.75,0,4,4,7,3,1,5,2,16,14.9,-1
3,3,11/1/03,21-299,WAS,,NJN,L (-13),1,27:00:00,5,12,0.417,1,6,0.167,1,1,1,2,2,4,1,0,1,5,4,12,2.4,-20
4,4,11/5/03,21-303,WAS,,DAL,W (+10),1,37:31:00,11,25,0.44,3,11,0.273,0,0,,2,10,12,10,3,0,4,3,25,21.1,12
5,5,11/7/03,21-305,WAS,,TOR,W (+26),1,27:16:00,4,9,0.444,0,4,0,3,3,1,1,3,4,5,0,0,3,1,11,8,18
6,6,11/8/03,21-306,WAS,@,CLE,L (-13),1,28:09:00,8,17,0.471,2,7,0.286,4,5,0.8,0,0,0,6,0,0,3,5,22,12.1,-6
7,7,11/11/03,21-309,WAS,,PHI,L (-7),1,44:56:00,11,24,0.458,5,10,0.5,9,14,0.643,3,4,7,10,3,0,2,6,36,30.5,-4
8,8,11/14/03,21-312,WAS,@,MIA,L (-4),1,50:16:00,10,24,0.417,2,9,0.222,5,7,0.714,2,5,7,7,3,0,8,5,27,14.2,2
9,9,11/15/03,21-313,WAS,,SAS,L (-24),1,35:25:00,4,19,0.211,1,5,0.2,5,8,0.625,0,4,4,2,1,1,0,2,14,4.6,-14
10,10,11/17/03,21-315,WAS,@,ATL,W (+9),1,44:07:00,5,15,0.333,1,6,0.167,12,15,0.8,0,3,3,7,1,0,4,5,23,14.1,8
11,11,11/19/03,21-317,WAS,,CLE,W (+11),1,37:58:00,8,18,0.444,4,8,0.5,5,7,0.714,1,4,5,4,3,0,5,1,25,17.1,4
12,12,11/21/03,21-319,WAS,@,DEN,L (-21),1,39:15:00,8,16,0.5,3,7,0.429,8,10,0.8,2,3,5,3,3,0,4,5,27,19.6,-11
13,13,11/23/03,21-321,WAS,@,SEA,L (-3),1,36:40:00,6,20,0.3,2,7,0.286,1,1,1,3,4,7,4,2,0,4,3,15,6.3,4
