Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/25/23,24-128,WAS,@,IND,L (-23),1,26:19:00,7,18,0.389,0,6,0,4,5,0.8,0,2,2,5,1,1,4,1,18,9.2,-12
2,2,10/28/23,24-131,WAS,,MEM,W (+7),1,35:45:00,8,23,0.348,4,12,0.333,7,9,0.778,0,4,4,2,1,1,5,2,27,11.8,13
3,3,10/30/23,24-133,WAS,,BOS,L (-19),1,25:16:00,5,11,0.455,1,5,0.2,0,0,,2,1,3,2,3,1,3,3,11,7.9,-29
4,4,11/1/23,24-135,WAS,@,ATL,L (-9),1,20:29,5,13,0.385,2,6,0.333,1,1,1,0,0,0,1,1,0,1,1,13,6.2,-22
5,5,11/3/23,24-137,WAS,@,MIA,L (-7),1,28:25:00,8,14,0.571,3,4,0.75,0,1,0,0,1,1,6,4,0,2,3,19,17.3,-21
6,6,11/6/23,24-140,WAS,@,PHI,L (-18),1,31:16:00,8,15,0.533,4,9,0.444,3,3,1,0,1,1,6,0,1,2,4,23,17.3,-4
7,7,11/8/23,24-142,WAS,@,CHO,W (+16),1,20:24,3,12,0.25,1,5,0.2,4,5,0.8,1,1,2,1,0,0,1,2,11,3.3,-5
8,8,11/10/23,24-144,WAS,,CHO,L (-7),1,31:14:00,6,14,0.429,1,5,0.2,1,1,1,0,2,2,6,0,0,3,4,14,6.8,-17
9,9,11/12/23,24-146,WAS,@,BRK,L (-8),1,32:12:00,5,12,0.417,2,8,0.25,0,1,0,0,5,5,2,0,1,3,6,12,3.4,-22
10,10,11/13/23,24-147,WAS,@,TOR,L (-4),1,35:10:00,6,16,0.375,2,6,0.333,0,0,,2,2,4,6,3,1,4,5,14,9.1,-12
11,11,11/15/23,24-149,WAS,,DAL,L (-13),1,32:04:00,6,17,0.353,2,7,0.286,2,2,1,1,4,5,3,1,0,5,4,16,4.9,-10
12,12,11/17/23,24-151,WAS,,NYK,L (-21),1,28:31:00,2,11,0.182,0,6,0,4,4,1,0,1,1,4,0,0,5,2,8,-1.6,-18
13,13,11/20/23,24-154,WAS,,MIL,L (-13),1,32:42:00,11,26,0.423,3,9,0.333,5,5,1,0,1,1,1,0,0,0,4,30,15.6,-26
14,14,11/22/23,24-156,WAS,@,CHO,L (-3),1,33:06:00,8,21,0.381,4,11,0.364,4,4,1,2,3,5,2,3,0,3,1,24,15.8,-14
15,15,11/24/23,24-158,WAS,@,MIL,L (-3),1,33:45:00,9,20,0.45,1,6,0.167,7,9,0.778,1,4,5,7,0,0,2,5,26,17.6,-3
16,,11/25/23,24-159,WAS,,ATL,L (-28),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,16,11/27/23,24-161,WAS,@,DET,W (+19),1,25:23:00,3,9,0.333,0,2,0,4,4,1,0,0,0,3,1,0,4,3,10,2.8,10
18,17,11/29/23,24-163,WAS,@,ORL,L (-19),1,26:08:00,5,12,0.417,4,7,0.571,5,6,0.833,0,5,5,2,2,1,2,3,19,14.6,-6
19,18,12/1/23,24-165,WAS,@,ORL,L (-5),1,30:20:00,3,12,0.25,0,5,0,8,9,0.889,0,4,4,4,1,0,2,5,14,7.4,-5
20,19,12/6/23,24-170,WAS,,PHI,L (-5),1,31:46:00,10,16,0.625,3,5,0.6,0,0,,0,1,1,2,1,0,3,3,23,14.3,-10
21,20,12/8/23,24-172,WAS,@,BRK,L (-27),1,23:36,3,7,0.429,0,2,0,2,2,1,0,2,2,2,0,0,3,3,8,2.1,-16
22,21,12/11/23,24-175,WAS,@,PHI,L (-45),1,26:06:00,3,11,0.273,1,3,0.333,4,4,1,0,0,0,3,0,0,3,1,11,3.2,-30
23,22,12/13/23,24-177,WAS,,NOP,L (-20),1,31:29:00,5,12,0.417,1,5,0.2,0,0,,0,1,1,4,2,1,4,2,11,5.6,-10
24,23,12/15/23,24-179,WAS,,IND,W (+14),1,32:13:00,12,18,0.667,3,4,0.75,3,4,0.75,0,4,4,8,1,0,2,4,30,26,15
25,24,12/17/23,24-181,WAS,@,PHO,L (-4),1,31:53:00,5,17,0.294,2,9,0.222,2,2,1,0,4,4,4,1,0,4,4,14,3.5,4
26,25,12/18/23,24-182,WAS,@,SAC,L (-12),1,28:32:00,10,18,0.556,8,13,0.615,0,0,,0,0,0,2,0,0,1,4,28,18.2,-8
27,26,12/21/23,24-185,WAS,@,POR,W (+1),1,34:23:00,4,13,0.308,0,4,0,5,5,1,0,2,2,6,1,0,3,2,13,7.5,5
28,27,12/22/23,24-186,WAS,@,GSW,L (-11),1,26:53:00,7,21,0.333,3,12,0.25,8,9,0.889,1,2,3,3,2,0,1,3,25,15.9,-9
29,28,12/26/23,24-190,WAS,,ORL,L (-8),1,32:51:00,11,20,0.55,6,11,0.545,2,2,1,0,2,2,3,3,0,3,3,30,21.9,-18
30,29,12/27/23,24-191,WAS,,TOR,L (-30),1,27:32:00,5,12,0.417,1,7,0.143,3,4,0.75,2,2,4,4,0,1,2,1,14,10.3,-17
31,30,12/29/23,24-193,WAS,,BRK,W (+6),1,24:41:00,2,6,0.333,1,4,0.25,0,0,,0,0,0,5,0,0,1,4,5,2.5,-16
32,31,12/31/23,24-195,WAS,,ATL,L (-4),1,28:44:00,6,14,0.429,1,7,0.143,0,0,,0,3,3,6,0,1,0,3,13,10.2,6
33,32,1/3/24,24-198,WAS,@,CLE,L (-39),1,22:42,3,11,0.273,2,4,0.5,0,0,,3,0,3,2,0,0,1,3,8,2.8,-22
34,33,1/5/24,24-200,WAS,@,CLE,L (-24),1,23:20,0,4,0,0,2,0,2,2,1,0,0,0,1,0,1,0,4,2,-1,-14
35,34,1/6/24,24-201,WAS,,NYK,L (-16),1,29:53:00,4,10,0.4,1,5,0.2,1,2,0.5,0,3,3,4,2,0,2,3,10,6.7,-1
36,35,1/8/24,24-203,WAS,,OKC,L (-8),1,29:19:00,8,17,0.471,4,8,0.5,4,5,0.8,0,0,0,5,0,0,1,5,24,15.4,3
37,36,1/10/24,24-205,WAS,@,IND,L (-8),1,33:35:00,11,21,0.524,2,7,0.286,4,6,0.667,1,3,4,7,3,0,1,3,28,24.2,0
38,37,1/13/24,24-208,WAS,@,ATL,W (+28),1,25:50:00,8,16,0.5,2,6,0.333,2,2,1,0,2,2,2,1,1,1,1,20,14.3,19
39,38,1/15/24,24-210,WAS,,DET,L (-12),1,31:50:00,6,14,0.429,2,7,0.286,2,2,1,0,0,0,2,0,0,1,3,16,7.8,-9
40,39,1/18/24,24-213,WAS,@,NYK,L (-4),1,34:02:00,7,19,0.368,2,9,0.222,8,8,1,0,4,4,2,1,0,0,1,24,16.7,-8
41,40,1/20/24,24-215,WAS,,SAS,L (-4),1,28:44:00,7,15,0.467,0,3,0,2,2,1,0,0,0,2,2,1,1,4,16,9.8,-15
42,41,1/21/24,24-216,WAS,,DEN,L (-9),1,27:55:00,1,7,0.143,1,4,0.25,1,1,1,0,1,1,0,0,0,2,4,4,-3.8,-10
43,42,1/24/24,24-219,WAS,,MIN,L (-11),1,28:11:00,2,11,0.182,1,4,0.25,2,2,1,0,2,2,3,0,0,4,3,7,-2.4,-10
44,43,1/25/24,24-220,WAS,,UTA,L (-15),1,28:20:00,6,12,0.5,3,7,0.429,3,4,0.75,0,2,2,2,2,2,0,5,18,15,-3
45,44,1/27/24,24-222,WAS,@,DET,W (+14),1,29:10:00,6,12,0.5,3,6,0.5,2,2,1,1,0,1,2,1,0,0,1,17,13.7,25
